Index,Country Name,Total Area km^2,World share %
1,Russia,"17,098,242",11.00%
2,Canada,"9,984,670",6.11%
3,China,"9,706,961",6.30%
4,United States,"9,372,610",6.14%
5,Brazil,"8,515,767",5.61%
6,Australia,"7,692,024",5.16%
7,India,"3,287,590",2.00%
8,Argentina,"2,780,400",1.84%
9,Kazakhstan,"2,724,900",1.81%
10,Algeria,"2,381,741",1.60%
11,DR Congo,"2,344,858",1.52%
12,Greenland,"2,166,086",0.28%
13,Saudi Arabia,"2,149,690",1.44%
14,Mexico,"1,964,375",1.31%
15,Indonesia,"1,904,569",1.22%
16,Sudan,"1,886,068",1.19%
17,Libya,"1,759,540",1.18%
18,Iran,"1,648,195",1.09%
19,Mongolia,"1,564,110",1.04%
20,Peru,"1,285,216",0.86%
21,Chad,"1,284,000",0.85%
22,Niger,"1,267,000",0.85%
23,Angola,"1,246,700",0.84%
24,Mali,"1,240,192",0.82%
25,South Africa,"1,221,037",0.81%
26,Colombia,"1,141,748",0.74%
27,Ethiopia,"1,104,300",0.67%
28,Bolivia,"1,098,581",0.73%
29,Mauritania,"1,030,700",0.69%
30,Egypt,"1,002,450",0.67%
31,Tanzania,"945,087",0.59%
32,Nigeria,"923,768",0.61%
33,Venezuela,"916,445",0.59%
34,Pakistan,"881,912",0.52%
35,Namibia,"825,615",0.55%
36,Mozambique,"801,590",0.53%
37,Turkey,"783,562",0.52%
38,Chile,"756,102",0.50%
39,Zambia,"752,612",0.50%
40,Myanmar,"676,578",0.44%
41,Afghanistan,"652,230",0.44%
42,Somalia,"637,657",0.42%
43,Central African Republic,"622,984",0.42%
44,South Sudan,"619,745",0.41%
45,Ukraine,"603,500",0.39%
46,Madagascar,"587,041",0.39%
47,Botswana,"582,000",0.38%
48,Kenya,"580,367",0.38%
49,France,"551,695",0.37%
50,Yemen,"527,968",0.35%
51,Thailand,"513,120",0.34%
52,Spain,"505,992",0.33%
53,Turkmenistan,"488,100",0.32%
54,Cameroon,"475,442",0.32%
55,Papua New Guinea,"462,840",0.30%
56,Sweden,"450,295",0.28%
57,Uzbekistan,"447,400",0.29%
58,Morocco,"446,550",0.30%
59,Iraq,"438,317",0.29%
60,Paraguay,"406,752",0.27%
61,Zimbabwe,"390,757",0.26%
62,Japan,"377,930",0.24%
63,Germany,"357,114",0.23%
64,Philippines,"342,353",0.20%
65,Congo,"342,000",0.23%
66,Finland,"338,424",0.20%
67,Vietnam,"331,212",0.21%
68,Malaysia,"330,803",0.22%
69,Norway,"323,802",0.25%
70,Côte d'Ivoire,"322,463",0.21%
71,Poland,"312,679",0.21%
72,Oman,"309,500",0.21%
73,Italy,"301,336",0.20%
74,Ecuador,"276,841",0.17%
75,Burkina Faso,"272,967",0.18%
76,New Zealand,"270,467",0.18%
77,Gabon,"267,668",0.17%
78,Western Sahara,"266,000",0.18%
79,Guinea,"245,857",0.16%
80,United Kingdom,"242,900",0.16%
81,Uganda,"241,550",0.13%
82,Ghana,"238,533",0.15%
83,Romania,"238,391",0.15%
84,Laos,"236,800",0.15%
85,Guyana,"214,969",0.13%
86,Belarus,"207,600",0.14%
87,Kyrgyzstan,"199,951",0.13%
88,Senegal,"196,722",0.13%
89,Syria,"185,180",0.12%
90,Cambodia,"181,035",0.12%
91,Uruguay,"181,034",0.12%
92,Suriname,"163,820",0.10%
93,Tunisia,"163,610",0.10%
94,Bangladesh,"147,570",0.09%
95,Nepal,"147,181",0.10%
96,Tajikistan,"143,100",0.09%
97,Greece,"131,990",0.09%
98,Nicaragua,"130,373",0.08%
99,North Korea,"120,538",0.08%
100,Malawi,"118,484",0.06%
101,Eritrea,"117,600",0.07%
102,Benin,"112,622",0.08%
103,Honduras,"112,492",0.08%
104,Liberia,"111,369",0.07%
105,Bulgaria,"110,879",0.07%
106,Cuba,"109,884",0.07%
107,Guatemala,"108,889",0.07%
108,Iceland,"103,000",0.07%
109,South Korea,"100,210",0.07%
110,Hungary,"93,028",0.06%
111,Portugal,"92,090",0.06%
112,Jordan,"89,342",0.06%
113,Serbia,"88,361",0.06%
114,Azerbaijan,"86,600",0.06%
115,Austria,"83,871",0.06%
116,United Arab Emirates,"83,600",0.06%
117,French Guiana,"83,534",0.06%
118,Czechia,"78,865",0.05%
119,Panama,"75,417",0.05%
120,Sierra Leone,"71,740",0.05%
121,Ireland,"70,273",0.05%
122,Georgia,"69,700",0.05%
123,Sri Lanka,"65,610",0.04%
124,Lithuania,"65,300",0.04%
125,Latvia,"64,559",0.04%
126,Togo,"56,785",0.04%
127,Croatia,"56,594",0.04%
128,Bosnia and Herzegovina,"51,209",0.03%
129,Costa Rica,"51,100",0.03%
130,Slovakia,"49,037",0.03%
131,Dominican Republic,"48,671",0.03%
132,Estonia,"45,227",0.03%
133,Denmark,"43,094",0.03%
134,Netherlands,"41,850",0.02%
135,Switzerland,"41,284",0.03%
136,Bhutan,"38,394",0.03%
137,Taiwan,"36,193",0.02%
138,Guinea-Bissau,"36,125",0.02%
139,Moldova,"33,846",0.02%
140,Belgium,"30,528",0.02%
141,Lesotho,"30,355",0.02%
142,Armenia,"29,743",0.02%
143,Solomon Islands,"28,896",0.02%
144,Albania,"28,748",0.02%
145,Equatorial Guinea,"28,051",0.02%
146,Burundi,"27,834",0.02%
147,Haiti,"27,750",0.02%
148,Rwanda,"26,338",0.02%
149,Republic of North Macedonia,"25,713",0.02%
150,Djibouti,"23,200",0.02%
151,Belize,"22,966",0.02%
152,El Salvador,"21,041",0.01%
153,Israel,"20,770",0.02%
154,Slovenia,"20,273",0.01%
155,New Caledonia,"18,575",0.01%
156,Fiji,"18,272",0.01%
157,Kuwait,"17,818",0.01%
158,Eswatini,"17,364",0.01%
159,Timor-Leste,"14,874",0.01%
160,Bahamas,"13,943",0.01%
161,Montenegro,"13,812",0.01%
162,Vanuatu,"12,189",0.01%
163,Falkland Islands,"12,173",0.01%
164,Qatar,"11,586",0.01%
165,Jamaica,"10,991",0.01%
166,Gambia,"10,689",0.01%
167,Lebanon,"10,452",0.01%
168,Cyprus,"9,251",0.01%
169,Puerto Rico,"8,870",0.01%
170,State of Palestine,"6,220",0.00%
171,Brunei Darussalam,"5,765",0.00%
172,Trinidad and Tobago,"5,130",0.00%
173,French Polynesia,"4,167",0.00%
174,Cabo Verde,"4,033",0.00%
175,Samoa,"2,842",0.00%
176,Luxembourg,"2,586",0.00%
177,Réunion,"2,511",0.00%
178,Mauritius,"2,040",0.00%
179,Comoros,"1,862",0.00%
180,Guadeloupe,"1,628",0.00%
181,Faeroe Islands,"1,393",0.00%
182,Martinique,"1,128",0.00%
183,"China, Hong Kong SAR","1,104",0.00%
184,Sao Tome and Principe,964,0.00%
185,Turks and Caicos Islands,948,0.00%
186,Kiribati,811,0.00%
187,Bahrain,765,0.00%
188,Dominica,751,0.00%
189,Tonga,747,0.00%
190,Singapore,710,0.00%
191,Micronesia,702,0.00%
192,Saint Lucia,616,0.00%
193,Isle of Man,572,0.00%
194,Guam,549,0.00%
195,Andorra,468,0.00%
196,Northern Mariana Islands,464,0.00%
197,Palau,459,0.00%
198,Seychelles,452,0.00%
199,Curaçao,444,0.00%
200,Antigua and Barbuda,442,0.00%
201,Barbados,430,0.00%
202,Saint Helena,394,0.00%
203,Saint Vincent and the Grenadines,389,0.00%
204,Mayotte,374,0.00%
205,United States Virgin Islands,347,0.00%
206,Grenada,344,0.00%
207,Caribbean Netherlands,328,0.00%
208,Malta,316,0.00%
209,Maldives,300,0.00%
210,Cayman Islands,264,0.00%
211,Saint Kitts and Nevis,261,0.00%
212,Niue,260,0.00%
213,Saint Pierre and Miquelon,242,0.00%
214,Cook Islands,236,0.00%
215,American Samoa,199,0.00%
216,Marshall Islands,181,0.00%
217,Aruba,180,0.00%
218,Liechtenstein,160,0.00%
219,British Virgin Islands,151,0.00%
220,Wallis and Futuna Islands,142,0.00%
221,Montserrat,102,0.00%
222,Anguilla,91,0.00%
223,San Marino,61,0.00%
224,Bermuda,54,0.00%
225,Saint Martin,53,0.00%
226,Sint Maarten,34,0.00%
227,"China, Macao SAR",30,0.00%
228,Tuvalu,26,0.00%
229,Nauru,21,0.00%
230,Saint Barthélemy,21,0.00%
231,Tokelau,12,0.00%
232,Gibraltar,6,0.00%
233,Monaco,2,0.00%
234,Holy See,0,0.00%