Country Name,EEZ Total km^2
United States,24334200
France,20122534
Australia,17986926
Russia,15461132
New Zealand,13425584
Indonesia,12038410
United Kingdom,11764544
Canada,11530860
Japan,8563720
Brazil,7355328
Chile,7337550
Kiribati,6880440
Mexico,6374026
Micronesia,6015436
Denmark,5278824
Papua New Guinea,4804476
India,4647896
Norway,4049102
Marshall Islands,4004440
Philippines,3929528
Republic of Mauritius,3851720
Portugal,3457436
Solomon Islands,3205562
South Africa,3095152
Seychelles,2683048
China,2604790
Fiji,2604228
Madagascar,2479582
Ecuador,2192788
Argentina,2150384
Spain,2015556
Maldives,1847666
Peru,1741578
Federal Republic of Somalia,1642888
Iceland,1617542
Cape Verde,1603872
Tuvalu,1506266
Vietnam,1504394
Colombia,1457672
Tonga,1332104
Vanuatu,1251700
Bahamas,1239570
Palau,1232862
Costa Rica,1198126
Mozambique,1132584
Namibia,1124424
Oman,1112980
Italy,1072892
Sri Lanka,1067118
Yemen,1054768
Malaysia,1035752
Myanmar,994920
Angola,991732
Greece,965872
Venezuela,947318
South Korea,860562
Taiwan,858454
Ireland,856008
Dominican Republic,727610
Libya,714772
Cuba,704518
Panama,662636
Nauru,618522
Equatorial Guinea,608266
Thailand,597122
Western Sahara,568108
Morocco,560904
Jamaica,544312
Turkey,524466
Liberia,503562
Egypt,502086
Tanzania,483134
Ghana,455000
Pakistan,448722
Saudi Arabia,448314
Senegal,443636
Iran,431226
Nicaragua,427626
Honduras,421422
Gabon,403518
Barbados,370148
Uruguay,369012
Nigeria,358096
Mauritania,346360
Ivory Coast,343520
Comores,328952
Sierra Leone,321168
Sweden,310772
Netherlands,289684
Guyana,277344
Ukraine,272396
Suriname,267336
Algeria,262386
Sao Tome and Principe,261688
Samoa,260960
Kenya,248056
Haiti,234750
Kazakhstan,228766
North Korea,228758
Bangladesh,224332
Antigua and Barbuda,223136
Guatemala,221390
Guinea-Bissau,213740
Guinea,204326
Tunisia,199402
Cyprus,196900
El Salvador,190198
Sudan,165120
Finland,163106
Azerbaijan,161228
Eritrea,156710
East Timor,154946
Trinidad and Tobago,153124
Turkmenistan,122452
United Arab Emirates,115694
Germany,113662
Croatia,110514
Malta,105846
Cambodia,97394
Brunei,86076
Estonia,72902
Saint Vincent and the Grenadines,72488
Benin,70986
Bulgaria,69490
São Tomé and Principe,69068
Belize,68624
Republic of the Congo,67614
Qatar,62978
Poland,61332
Romania,59212
Dominica,57104
Latvia,56644
Israel,51910
Grenada,51142
Gambia,46194
Georgia,45888
Lebanon,37714
Togo,30894
Saint Lucia,30826
Cameroon,30286
Democratic Republic of the Congo,26746
Kuwait,21550
Syria,20538
Saint Kitts and Nevis,19004
Bahrain,15032
Djibouti,14446
Lithuania,13728
Montenegro,12766
Belgium,7062
Iraq,2740
Palestine,2240
Singapore,1350
Monaco,576
Slovenia,428
Jordan,194
Bosnia and Herzegovina,26
Albania,0